Original Word,Lemmatized Form,Stemmed Form
“,“,“
I,I,i
don,don,don
’,’,’
t,t,t
know,know,know
.,.,.
Because,Because,becaus
it,it,it
’,’,’
s,s,s
my,my,my
profession,profession,profess
.,.,.
So,So,so
I,I,i
don,don,don
’,’,’
t,t,t
want,want,want
to,to,to
complicate,complicate,complic
it,it,it
by,by,by
involving,involving,involv
it,it,it
in,in,in
my,my,my
personal,personal,person
life,life,life
.,.,.
I,I,i
want,want,want
things,thing,thing
to,to,to
remain,remain,remain
simple,simple,simpl
.,.,.
I,I,i
have,have,have
very,very,veri
good,good,good
friends,friend,friend
",",",",","
but,but,but
I,I,i
don,don,don
’,’,’
t,t,t
know,know,know
.,.,.
”,”,”
